#
## ./fault_db2/xfr_merge.out
## File generated by TOOL:	xfr	20.09-s007 on Jun 16, 2025 at 21:37:58 CEST
#

{ <list of fault nodes> } <fault_seed> <fault_type> <fault injection time> <finish time> <result>
":UUT:\Q_OUT[4]_I_2\:O"    0    SET+100ps    402ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[5]_I_1\:I5"    0    SET+100ps    136ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[5]_I_1\:I4"    0    SET+100ps    142ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[5]_I_1\:I3"    0    SET+100ps    413ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[5]_I_1\:I2"    0    SET+100ps    359ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[5]_I_1\:I1"    0    SET+100ps    223ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[5]_I_1\:I0"    0    SET+100ps    332ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[5]_I_1\:O"    0    SET+100ps    256ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[5]_I_2\:I5"    0    SET+100ps    423ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[5]_I_2\:I4"    0    SET+100ps    68ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[5]_I_2\:I3"    0    SET+100ps    439ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[5]_I_2\:I2"    0    SET+100ps    168ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[5]_I_2\:I1"    0    SET+100ps    311ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[5]_I_2\:I0"    0    SET+100ps    423ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[5]_I_2\:O"    0    SET+100ps    208ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[5]_I_3\:I2"    0    SET+100ps    432ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[5]_I_3\:I1"    0    SET+100ps    242ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[5]_I_3\:I0"    0    SET+100ps    449ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[5]_I_3\:O"    0    SET+100ps    60ns    1us    <ON_TIME,UNDETECTED>
